,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr
0,1.7430453300476074,0.31221720576286316,1.4894437789916992,0.3700000047683716,0.001
1,1.2142517566680908,0.49170437455177307,1.0772793292999268,0.5799999833106995,0.001
2,0.9180594086647034,0.6561086177825928,0.9549447894096375,0.6000000238418579,0.001
3,0.6958332061767578,0.7164404392242432,0.7191073894500732,0.7699999809265137,0.001
4,0.471812903881073,0.8310708999633789,0.88811194896698,0.6800000071525574,0.001
5,0.4102102816104889,0.8521870374679565,0.8960966467857361,0.7099999785423279,0.001
6,0.2977958619594574,0.889894425868988,0.6851478815078735,0.7400000095367432,0.001
7,0.22954930365085602,0.918552041053772,0.7516725063323975,0.7300000190734863,0.001
8,0.12928131222724915,0.9622926115989685,1.0376434326171875,0.6200000047683716,0.001
9,0.12379804253578186,0.9577677249908447,0.6223687529563904,0.8199999928474426,0.001
10,0.09831324964761734,0.9713423848152161,0.8283277153968811,0.7599999904632568,0.001
11,0.06568645685911179,0.9758672714233398,0.6516028642654419,0.8100000023841858,0.001
12,0.05848047882318497,0.9864253401756287,0.7046968340873718,0.7699999809265137,0.001
13,0.046103283762931824,0.9834087491035461,0.7699640393257141,0.699999988079071,0.001
14,0.018804386258125305,0.9969834089279175,0.6892930865287781,0.800000011920929,0.001
15,0.016434308141469955,0.993966817855835,0.7025066614151001,0.7799999713897705,0.001
16,0.03357667103409767,0.9909502267837524,1.3099838495254517,0.6499999761581421,0.001
17,0.015540718100965023,0.9954751133918762,0.6073468923568726,0.7900000214576721,0.001
18,0.008667809888720512,1.0,0.5918772220611572,0.8299999833106995,0.001
19,0.013755891472101212,0.993966817855835,0.5800068974494934,0.8199999928474426,0.001
20,0.012547709979116917,0.9984917044639587,0.6538508534431458,0.8199999928474426,0.001
21,0.00447634095326066,1.0,0.715861976146698,0.7900000214576721,0.001
22,0.011307026259601116,0.9969834089279175,0.6410824656486511,0.800000011920929,0.001
23,0.013697188347578049,0.9969834089279175,0.7533758282661438,0.7400000095367432,0.001
24,0.003485789056867361,1.0,0.6546695232391357,0.8100000023841858,0.001
25,0.006926621310412884,1.0,0.7037325501441956,0.800000011920929,0.001
26,0.00636943057179451,0.9984917044639587,0.8084272742271423,0.7900000214576721,0.001
27,0.004829165991395712,1.0,0.4606112241744995,0.8199999928474426,0.001
28,0.005096357315778732,1.0,0.9449549913406372,0.6800000071525574,0.001
29,0.0033876970410346985,1.0,1.0147204399108887,0.7099999785423279,0.001
30,0.009086991660296917,0.9969834089279175,0.8596655130386353,0.7599999904632568,0.001
31,0.016140446066856384,0.9954751133918762,0.7975619435310364,0.7599999904632568,0.001
32,0.006754308473318815,1.0,0.6882169842720032,0.7799999713897705,0.001
33,0.004065512679517269,1.0,0.7135976552963257,0.800000011920929,0.001
34,0.0028463497292250395,1.0,0.8468061089515686,0.7699999809265137,0.001
35,0.0019587096758186817,1.0,0.7271659970283508,0.7799999713897705,0.001
36,0.002475770888850093,1.0,0.7670800089836121,0.7699999809265137,0.001
37,0.002884281100705266,1.0,0.6167623400688171,0.7699999809265137,0.001
38,0.0015983504708856344,1.0,0.8617016673088074,0.800000011920929,0.001
39,0.001500156708061695,1.0,0.771155595779419,0.8100000023841858,0.001
